sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,668,46150.759,353.205,41083.853,517.837,265040,30828707,388577
Infernal Slice,38,68189.211,30.384,3453.147,148.725,22800,2591190,111601
Auto,234,11000.175,28.066,3430.294,59.556,21060,2574041,44690
Cross Reaping,36,70908.75,28.785,3401.874,150.649,21600,2552715,113045
Communio,19,130348.526,27.852,3300.468,201.175,20900,2476622,150959
Void Reaping,36,66961.278,27.346,3212.492,142.51,20520,2410606,106937
Waxing Slice,38,56579.0,25.32,2865.199,123.383,19000,2150002,92585
Slice,38,47626.895,21.269,2411.858,103.868,15960,1809822,77941
Soul Slice,25,59498.8,17.324,1982.276,105.29,13000,1487470,79008
Sacrificium,19,71213.947,15.192,1803.161,109.918,11400,1353065,82481
Gallows,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Gibbet,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Lemure's Slice,36,33112.778,13.433,1588.598,70.348,10080,1192060,52788
Executioner's Gallows,12,94313.083,13.113,1508.235,115.653,9840,1131757,86784
Executioner's Gibbet,12,93682.5,13.033,1498.151,114.834,9780,1124190,86170
Perfectio,7,156870.0,12.127,1463.369,146.935,9100,1098090,110258
Unveiled Gibbet,18,50105.444,10.555,1201.914,75.225,7920,901898,56448
Unveiled Gallows,18,50015.611,10.555,1199.759,75.079,7920,900281,56338
Shadow of Death,25,33933.36,9.995,1130.532,60.037,7500,848334,45051
Plentiful Harvest,7,120667.0,9.329,1125.648,113.026,7000,844669,84813
Gluttony,12,59648.5,8.316,953.886,73.13,6240,715782,54876
Harvest Moon,1,97982.0,1.066,130.576,34.661,800,97982,26009
Harpe,1,30859.0,0.4,41.124,10.916,300,30859,8191
