sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,668,50627.76,353.205,45069.323,589.3,265040,33819344,442202
Cross Reaping,36,85371.056,28.785,4095.708,183.834,21600,3073358,137946
Communio,19,158054.842,27.852,4002.002,247.067,20900,3003042,185395
Void Reaping,36,78745.556,27.346,3777.847,170.511,20520,2834840,127949
Auto,234,11705.628,28.066,3650.282,64.176,21060,2739117,48157
Infernal Slice,38,69201.0,30.384,3504.385,151.574,22800,2629638,113739
Waxing Slice,38,57060.553,25.32,2889.585,124.667,19000,2168301,93548
Slice,38,48035.974,21.269,2432.574,105.05,15960,1825367,78828
Sacrificium,19,87303.421,15.192,2210.552,136.439,11400,1658765,102382
Soul Slice,25,60708.32,17.324,2022.572,108.23,13000,1517708,81214
Lemure's Slice,36,40093.194,13.433,1923.486,86.334,10080,1443355,64784
Perfectio,7,203079.429,12.127,1894.436,191.251,9100,1421556,143512
Gibbet,18,71129.944,14.872,1706.243,107.192,11160,1280339,80435
Gallows,18,71065.611,14.872,1704.7,107.096,11160,1279181,80363
Executioner's Gallows,12,97259.5,13.113,1555.354,120.454,9840,1167114,90387
Executioner's Gibbet,12,95333.667,13.033,1524.556,117.68,9780,1144004,88305
Plentiful Harvest,7,156213.143,9.329,1457.241,147.112,7000,1093492,110391
Unveiled Gibbet,18,51313.944,10.555,1230.903,77.594,7920,923651,58225
Unveiled Gallows,18,50436.722,10.555,1209.86,75.954,7920,907861,56995
Shadow of Death,25,34258.32,9.995,1141.358,60.881,7500,856458,45684
Gluttony,12,60192.25,8.316,962.582,74.211,6240,722307,55687
Harvest Moon,1,99031.0,1.066,131.974,35.321,800,99031,26504
Harpe,1,30859.0,0.4,41.124,10.916,300,30859,8191
