sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35850.017,244.365,28092.495,223.567,184300,21187360,168614
Fell Cleave,71,76162.606,54.601,7169.909,103.778,41180,5407545,78269
Inner Chaos,22,110630.727,19.252,3227.096,19.905,14520,2433876,15012
Auto,225,9200.778,26.85,2744.862,47.257,20250,2070175,35641
Maim,61,30472.23,27.499,2464.606,81.409,20740,1858806,61399
Storm's Path,40,44770.1,26.518,2374.442,96.822,20000,1790804,73023
Primal Ruination,13,128762.462,13.445,2219.454,17.814,10140,1673912,13435
Primal Rend,13,115556.154,12.066,1991.819,15.989,9100,1502230,12059
Heavy Swing,61,21449.934,19.411,1734.879,57.296,14640,1308446,43213
Storm's Eye,21,44768.238,13.922,1246.53,70.162,10500,940133,52916
Upheaval,24,38893.667,13.365,1237.666,65.277,10080,933448,49232
Primal Wrath,13,66999.231,12.066,1154.853,82.796,9100,870990,62445
Onslaught,27,14703.519,5.37,526.379,26.18,4050,396995,19745
