sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Demolish,Dragon Kick,Elixir Burst,Fire's Reply,Leaping Opo,Phantom Rush,Pouncing Coeurl,Rising Phoenix,Rising Raptor,Six-sided Star,The Forbidden Chakra,Twin Snakes,Wind's Reply
500,1790,Dragon Kick,320,1.0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
1790,2322,Auto,90,1.0,90,0,320,0,0,0,0,0,0,0,0,0,0,0
2440,3060,Leaping Opo,460,1.0,90,0,320,0,0,460,0,0,0,0,0,0,0,0
1770,3190,The Forbidden Chakra,400,1.0,90,0,320,0,0,460,0,0,0,0,0,400,0,0
3830,4362,Auto,90,1.0,180,0,320,0,0,460,0,0,0,0,0,400,0,0
4380,5670,Dragon Kick,320,1.0,180,0,640,0,0,460,0,0,0,0,0,400,0,0
5870,6402,Auto,90,1.0,270,0,640,0,0,460,0,0,0,0,0,400,0,0
6320,6940,Leaping Opo,460,1.0,270,0,640,0,0,920,0,0,0,0,0,400,0,0
6940,8360,The Forbidden Chakra,25,0.0639,270,0,640,0,0,920,0,0,0,0,0,425,0,0
7910,8442,Auto,90,1.0,360,0,640,0,0,920,0,0,0,0,0,425,0,0
8930,9462,Auto,90,1.0,450,0,640,0,0,920,0,0,0,0,0,425,0,0
8260,9680,Elixir Burst,900,1.0,450,0,640,900,0,920,0,0,0,0,0,425,0,0
8880,10300,The Forbidden Chakra,239,0.5989,450,0,640,900,0,920,0,0,0,0,0,664,0,0
9950,10482,Auto,90,1.0,540,0,640,900,0,920,0,0,0,0,0,664,0,0
9530,10950,The Forbidden Chakra,21,0.0529,540,0,640,900,0,920,0,0,0,0,0,685,0,0
10200,11490,Dragon Kick,320,1.0,540,0,960,900,0,920,0,0,0,0,0,685,0,0
10970,11502,Auto,90,1.0,630,0,960,900,0,920,0,0,0,0,0,685,0,0
10850,12270,The Forbidden Chakra,151,0.3775,630,0,960,900,0,920,0,0,0,0,0,836,0,0
11990,12522,Auto,90,1.0,720,0,960,900,0,920,0,0,0,0,0,836,0,0
11430,12850,The Forbidden Chakra,41,0.1033,720,0,960,900,0,920,0,0,0,0,0,877,0,0
12141,13341,Wind's Reply,1040,1.0,720,0,960,900,0,920,0,0,0,0,0,877,0,1040
