sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1017,33907.89,328.602,45960.714,417.469,246550,34484324,313227
Tendo Kaeshi Setsugekka,15,204672.667,21.991,4091.817,120.0,16500,3070090,90036
Auto,315,9720.819,37.785,4081.112,61.835,28350,3062058,46395
Tendo Setsugekka,15,202441.133,21.991,4047.204,118.039,16500,3036617,88565
Gekko,49,51803.0,27.429,3383.109,130.453,20580,2538347,97879
Kaeshi: Setsugekka,22,108729.955,18.766,3188.137,75.856,14080,2392059,56915
Gyofu,82,28047.341,26.23,3065.283,90.252,19680,2299882,67716
Midare Setsugekka,22,102241.455,18.766,2997.884,69.851,14080,2249312,52409
Hissatsu: Shinten,70,31113.471,23.324,2902.763,93.655,17500,2177943,70269
Kasha,38,50698.947,21.271,2567.72,111.663,15960,1926560,83781
Higanbana (dot),240,6572.083,15.994,2102.226,36.881,12000,1577300,27672
Shoha,18,86511.611,15.354,2075.448,133.472,11520,1557209,100144
Yukikaze,38,40306.737,17.22,2041.391,88.619,12920,1531656,66491
Kaeshi: Namikiri,7,204240.857,9.33,1905.486,83.135,7000,1429686,62376
Ogi Namikiri,7,204240.857,9.33,1905.486,83.135,7000,1429686,62376
Hissatsu: Senei,13,105429.0,13.861,1826.705,137.908,10400,1370577,103472
Zanshin,7,137082.714,8.77,1278.927,132.234,6580,959579,99215
Jinpu,23,34569.304,9.196,1059.701,58.689,6900,795094,44034
Shifu,21,34583.095,8.397,967.939,56.059,6300,726245,42061
Higanbana,12,25988.25,3.199,415.646,32.612,2400,311859,24469
Hissatsu: Gyoten,3,14188.333,0.4,56.731,8.931,300,42565,6701
