sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1017,35240.419,328.602,47766.901,430.604,246550,35839506,323082
Tendo Kaeshi Setsugekka,15,213002.867,21.991,4258.354,124.922,16500,3195043,93729
Auto,315,10091.87,37.785,4236.891,63.72,28350,3178939,47809
Tendo Setsugekka,15,209870.0,21.991,4195.722,122.474,16500,3148050,91892
Gekko,49,53801.245,27.429,3513.609,134.409,20580,2636261,100847
Kaeshi: Setsugekka,22,113029.909,18.766,3314.218,78.418,14080,2486658,58837
Gyofu,82,29192.5,26.23,3190.437,93.459,19680,2393785,70122
Midare Setsugekka,22,106399.0,18.766,3119.789,71.859,14080,2340778,53916
Hissatsu: Shinten,70,32411.443,23.324,3023.858,96.832,17500,2268801,72653
Kasha,38,52543.763,21.271,2661.153,115.037,15960,1996663,86312
Higanbana (dot),240,6825.0,15.994,2183.127,37.914,12000,1638000,28447
Shoha,18,89581.222,15.354,2149.09,136.493,11520,1612462,102411
Yukikaze,38,41947.158,17.22,2124.473,91.665,12920,1593992,68776
Kaeshi: Namikiri,7,212980.429,9.33,1987.023,86.704,7000,1490863,65054
Ogi Namikiri,7,212980.429,9.33,1987.023,86.704,7000,1490863,65054
Hissatsu: Senei,13,109393.538,13.861,1895.397,141.573,10400,1422116,106222
Zanshin,7,142052.286,8.77,1325.291,134.878,6580,994366,101199
Jinpu,23,35987.0,9.196,1103.16,60.833,6900,827701,45643
Shifu,21,35987.0,8.397,1007.233,58.129,6300,755727,43614
Higanbana,12,26989.667,3.199,431.662,33.524,2400,323876,25153
Hissatsu: Gyoten,3,14854.0,0.4,59.392,9.222,300,44562,6919
