sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,668,46878.659,353.205,41731.836,528.587,265040,31314944,396644
Cross Reaping,36,73511.528,28.785,3526.743,156.301,21600,2646415,117286
Auto,234,11108.885,28.066,3464.194,60.188,21060,2599479,45164
Infernal Slice,38,68278.553,30.384,3457.672,148.924,22800,2594585,111750
Communio,19,134873.263,27.852,3415.036,208.312,20900,2562592,156314
Void Reaping,36,68897.583,27.346,3305.387,146.834,20520,2480313,110182
Waxing Slice,38,56579.0,25.32,2865.199,123.383,19000,2150002,92585
Slice,38,47626.895,21.269,2411.858,103.868,15960,1809822,77941
Soul Slice,25,59630.0,17.324,1986.647,105.552,13000,1490750,79205
Sacrificium,19,73881.632,15.192,1870.708,114.127,11400,1403751,85639
Gallows,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Gibbet,18,70479.778,14.872,1690.647,105.798,11160,1268636,79389
Lemure's Slice,36,34328.667,13.433,1646.931,72.989,10080,1235832,54770
Perfectio,7,164713.429,12.127,1536.537,154.282,9100,1152994,115771
Executioner's Gallows,12,94744.083,13.113,1515.128,116.244,9840,1136929,87228
Executioner's Gibbet,12,94081.917,13.033,1504.538,115.346,9780,1128983,86554
Unveiled Gibbet,18,50105.444,10.555,1201.914,75.225,7920,901898,56448
Unveiled Gallows,18,50015.611,10.555,1199.759,75.079,7920,900281,56338
Plentiful Harvest,7,126700.714,9.329,1181.933,118.676,7000,886905,89053
Shadow of Death,25,33933.36,9.995,1130.532,60.037,7500,848334,45051
Gluttony,12,59913.833,8.316,958.129,73.485,6240,718966,55142
Harvest Moon,1,97982.0,1.066,130.576,34.661,800,97982,26009
Harpe,1,30859.0,0.4,41.124,10.916,300,30859,8191
