sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Death Rattle,First Generation,First Legacy,Flanksbane Fang,Flanksting Strike,Fourth Generation,Fourth Legacy,Hindsbane Fang,Hindsting Strike,Hunter's Coil,Hunter's Sting,Ouroboros,Reaving Fangs,Reawaken,Second Generation,Second Legacy,Steel Fangs,Swiftskin's Coil,Swiftskin's Sting,Third Generation,Third Legacy,Twinblood Bite,Twinfang Bite,Uncoiled Fury,Uncoiled Twinblood,Uncoiled Twinfang,Vicewinder
-1200,90,Reaving Fangs,20340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,622,Auto,8038.0,8038,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2461,Swiftskin's Sting,30511.0,8038,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,0
2730,3262,Auto,8038.0,16076,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,0
3801,4381,Vicewinder,53398.0,16076,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,53398
4970,5502,Auto,8439.0,24515,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,53398
6352,7332,Hunter's Coil,66213.0,24515,0,0,0,0,0,0,0,0,0,66213,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,53398
7210,7742,Auto,9283.0,33798,0,0,0,0,0,0,0,0,0,66213,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,53398
7592,8212,Twinfang Bite,19968.0,33798,0,0,0,0,0,0,0,0,0,66213,0,0,20340,0,0,0,0,0,30511,0,0,0,19968,0,0,0,53398
8212,8882,Twinblood Bite,21618.0,33798,0,0,0,0,0,0,0,0,0,66213,0,0,20340,0,0,0,0,0,30511,0,0,21618,19968,0,0,0,53398
8902,9522,Swiftskin's Coil,78859.0,33798,0,0,0,0,0,0,0,0,0,66213,0,0,20340,0,0,0,0,78859,30511,0,0,21618,19968,0,0,0,53398
